statenum,casenum,acchr,latitude,longitude,numfatal,age
25,225,0,42.19684167,-73.35656944,1,22
25,226,14,41.97446667,-70.805575,1,36
25,226,14,41.97446667,-70.805575,1,62
25,227,15,42.08313611,-72.67955833,1,66
25,228,10,42.62853611,-71.27386667,1,3
25,228,10,42.62853611,-71.27386667,1,5
25,228,10,42.62853611,-71.27386667,1,7
25,228,10,42.62853611,-71.27386667,1,30
25,228,10,42.62853611,-71.27386667,1,60
25,228,10,42.62853611,-71.27386667,1,80
25,229,8,42.19051389,-71.06708056,1,26
25,229,8,42.19051389,-71.06708056,1,43
25,230,19,42.47081389,-71.72679167,2,39
25,230,19,42.47081389,-71.72679167,2,51
25,230,19,42.47081389,-71.72679167,2,64
25,231,14,42.22427778,-71.01878056,1,70
25,232,11,41.96703056,-71.06695556,1,30
25,232,11,41.96703056,-71.06695556,1,89
25,232,11,41.96703056,-71.06695556,1,90
25,233,23,41.758475,-71.14458056,1,19
25,234,22,42.19513333,-71.28875556,1,23
25,235,17,77.7777,-777.7777,1,21
25,235,17,77.7777,-777.7777,1,24
25,235,17,77.7777,-777.7777,1,25
25,235,17,77.7777,-777.7777,1,46
25,236,20,42.19690556,-71.06104722,1,37
25,237,10,42.59281111,-70.8437,1,83
25,238,19,41.76391389,-70.66300278,1,20
25,238,19,41.76391389,-70.66300278,1,24
25,239,21,42.45836111,-73.21078611,1,68
25,240,18,41.68346389,-71.1506,1,23
25,241,21,42.51958056,-73.22793611,1,51
25,242,22,41.66047222,-70.82426111,2,18
25,242,22,41.66047222,-70.82426111,2,21
25,243,11,42.17665556,-70.75063333,1,28
25,243,11,42.17665556,-70.75063333,1,73
25,244,14,41.82911667,-69.97355833,1,21
25,245,6,42.21130278,-71.06883333,1,8
25,245,6,42.21130278,-71.06883333,1,31
25,245,6,42.21130278,-71.06883333,1,38
25,245,6,42.21130278,-71.06883333,1,56
25,246,23,77.7777,-777.7777,1,53
25,247,14,41.70097778,-70.93930833,1,42
25,248,15,42.60773889,-72.58853333,1,62
25,249,16,77.7777,-777.7777,1,68
25,251,16,42.55465556,-71.35327778,1,21
25,251,16,42.55465556,-71.35327778,1,69
25,252,9,42.38582222,-71.41893889,1,75
25,253,20,42.72157778,-71.18691667,1,25
25,253,20,42.72157778,-71.18691667,1,46
25,254,2,42.11641111,-71.03644167,2,21
25,254,2,42.11641111,-71.03644167,2,23
25,254,2,42.11641111,-71.03644167,2,25
25,254,2,42.11641111,-71.03644167,2,27
25,255,2,42.09444167,-70.90484444,1,23
25,255,2,42.09444167,-70.90484444,1,47
25,256,99,42.21929444,-71.02683333,1,32
25,257,99,42.25306389,-71.00681944,1,999
25,258,2,41.62785278,-70.92385556,1,999
25,259,99,42.16765,-71.89348056,2,26
25,259,99,42.16765,-71.89348056,2,31
25,259,99,42.16765,-71.89348056,2,34
25,259,99,42.16765,-71.89348056,2,55
25,259,99,42.16765,-71.89348056,2,998
25,260,11,41.68398611,-71.13171944,1,57
25,261,0,41.70461389,-71.121475,1,54
25,262,4,42.59746389,-71.96725278,1,20
25,262,4,42.59746389,-71.96725278,1,70
25,263,5,42.13411944,-72.56751111,1,28
25,263,5,42.13411944,-72.56751111,1,32
25,264,22,42.78026667,-71.07743611,1,77
25,265,15,42.48904444,-72.96290833,1,19
25,266,1,42.12955278,-72.04441389,1,27
25,267,22,42.50986389,-72.80920278,1,30
25,268,16,42.12674167,-72.05313889,1,6
25,268,16,42.12674167,-72.05313889,1,7
25,268,16,42.12674167,-72.05313889,1,32
25,268,16,42.12674167,-72.05313889,1,33
25,268,16,42.12674167,-72.05313889,1,55
25,269,99,42.37481389,-71.58228611,1,27
25,270,19,41.74565556,-70.11011389,1,24
25,271,6,42.52348611,-71.09548889,1,39
25,272,17,42.39544167,-71.58063889,1,52
25,273,14,41.64317778,-70.97728611,1,1
25,273,14,41.64317778,-70.97728611,1,74
25,274,17,42.05747778,-71.87836667,1,19
25,274,17,42.05747778,-71.87836667,1,78
25,275,18,42.49868333,-71.74667222,1,23
25,275,18,42.49868333,-71.74667222,1,66
25,276,21,77.7777,-777.7777,1,45
25,277,7,77.7777,-777.7777,1,20
25,278,16,77.7777,-777.7777,1,41
25,278,16,77.7777,-777.7777,1,63
25,278,16,77.7777,-777.7777,1,74
25,279,14,42.55264167,-71.53843611,1,37
25,279,14,42.55264167,-71.53843611,1,51
25,279,14,42.55264167,-71.53843611,1,62
25,279,14,42.55264167,-71.53843611,1,64
25,279,14,42.55264167,-71.53843611,1,88
25,281,17,42.16084722,-71.047275,1,72
25,282,20,42.12168611,-71.09665278,1,32
25,283,99,42.07785,-70.86184444,1,52
25,284,17,42.16040833,-72.33651667,1,40
25,285,18,42.07148889,-71.735875,1,24
25,285,18,42.07148889,-71.735875,1,37
25,286,99,42.23075833,-71.18295556,1,56
25,287,22,42.13753333,-72.56532222,1,50
25,288,19,42.42549444,-71.08596111,1,999
25,289,19,41.59988611,-70.97424167,1,27
25,290,10,42.27012222,-71.09376111,1,56
25,290,10,42.27012222,-71.09376111,1,83
25,291,2,42.36823333,-71.05664444,2,21
25,291,2,42.36823333,-71.05664444,2,27
25,292,20,42.29413611,-71.06298611,1,61
25,293,23,77.7777,-777.7777,1,45
25,293,23,77.7777,-777.7777,1,999
25,294,2,42.35042778,-71.0566,1,24
25,294,2,42.35042778,-71.0566,1,28
25,295,0,42.25198056,-71.80833611,1,23
25,296,19,42.28951944,-71.78625833,2,29
